學校,年度,科目,題號,單元,題型,答案,答案來源,官方釋疑,阿摩狀態,詳解,題目圖,詳解連結,審圖狀態,備註
慈濟大學,112,化學,1,,完整題圖,B,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q001\TCU_112_chem_q001_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,2,,完整題圖,C,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q002\TCU_112_chem_q002_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,3,,完整題圖,A,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q003\TCU_112_chem_q003_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,4,,完整題圖,C,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q004\TCU_112_chem_q004_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,5,,完整題圖,D,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q005\TCU_112_chem_q005_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,6,,完整題圖,A,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q006\TCU_112_chem_q006_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,7,,完整題圖,A,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q007\TCU_112_chem_q007_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,8,,完整題圖,D,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q008\TCU_112_chem_q008_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,9,,完整題圖,A,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q009\TCU_112_chem_q009_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,10,,完整題圖,C,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q010\TCU_112_chem_q010_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,11,,完整題圖,C,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q011\TCU_112_chem_q011_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,12,,完整題圖,D,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q012\TCU_112_chem_q012_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,13,,完整題圖,C,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q013\TCU_112_chem_q013_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,14,,完整題圖,D,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q014\TCU_112_chem_q014_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,15,,完整題圖,C,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q015\TCU_112_chem_q015_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,16,,完整題圖,D,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q016\TCU_112_chem_q016_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,17,,完整題圖,C,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q017\TCU_112_chem_q017_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,18,,完整題圖,B,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q018\TCU_112_chem_q018_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,19,,完整題圖,B,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q019\TCU_112_chem_q019_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,20,,完整題圖,A,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q020\TCU_112_chem_q020_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,21,,完整題圖,D,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q021\TCU_112_chem_q021_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,22,,完整題圖,C,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q022\TCU_112_chem_q022_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,23,,完整題圖,A,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q023\TCU_112_chem_q023_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,24,,完整題圖,A,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q024\TCU_112_chem_q024_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,25,,完整題圖,D,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q025\TCU_112_chem_q025_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,26,,完整題圖,D,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q026\TCU_112_chem_q026_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,27,,完整題圖,C,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q027\TCU_112_chem_q027_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,28,,完整題圖,C,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q028\TCU_112_chem_q028_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
