學校,年度,科目,題號,單元,題型,答案,答案來源,釋疑校對,阿摩校對,詳解,題目圖,詳解連結,狀態,錯因,備註
中國醫藥大學,114,化學,1,未分類,1. 下列各反應何者的主要產物與其它不同? (A) (B) (C) (D),B,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\114\chemistry\q001\CMU_114_chem_q001_full.png,,待複習,,中國醫114化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,114,化學,2,芳香族/有機反應,"2. 下列縮合(condensation)反應,何者起始物並非酯類化合物? (A) Acyloin (B) Benzoin (C) Claisen (D) Dieckmann",C,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\114\chemistry\q002\CMU_114_chem_q002_full.png,,待複習,,中國醫114化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,114,化學,3,芳香族/有機反應,3. 下列何者反應的產物並非苯甲醛? (A) (B) (C) (D),A,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\114\chemistry\q003\CMU_114_chem_q003_full.png,,待複習,,中國醫114化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,114,化學,4,未分類,"4. 4-壬酮(4-nonanone)在質譜分析中,下列哪個質量數最不易觀察到? (A) m/z = 71 (B) m/z = 86 (C) m/z = 99 (D) m/z = 114",D,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\114\chemistry\q004\CMU_114_chem_q004_full.png,,待複習,,中國醫114化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,114,化學,5,未分類,"5. 下列何者為1,3,5-己三烯(1,3,5-hexatriene)的LUMO 分子軌域? (A) (B) (C) (D)",B,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\114\chemistry\q005\CMU_114_chem_q005_full.png,,待複習,,中國醫114化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,114,化學,6,未分類,"6. 下列六個化合物中,有多少個為掌性分子? (A) 2 (B) 3 (C) 4 (D) 5",C,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\114\chemistry\q006\CMU_114_chem_q006_full.png,,待複習,,中國醫114化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,114,化學,7,未分類,"7. 下列分子以費雪(Fischer)投影表示,請問此分子進行反側消去(anti-elimination)的產物為何? (A) (B) (C) (D)",D,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\114\chemistry\q007\CMU_114_chem_q007_full.png,,待複習,,中國醫114化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,114,化學,8,未分類,8. 下列反應的主要產物為何? (A) (B) (C) (D),C,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\114\chemistry\q008\CMU_114_chem_q008_full.png,,待複習,,中國醫114化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,114,化學,9,未分類,9. 下列何者反應的產物不含酮基(ketone)? (A) (B) (C) (D),A,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\114\chemistry\q009\CMU_114_chem_q009_full.png,,待複習,,中國醫114化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,114,化學,10,酸鹼/溶液,10. 威爾金森催化劑 (Wilkinson’s catalyst)的分子式為何? (A) Rh(PPh3)3CO (B) Ru(PPh3)3Cl (C) Rh(PPh3)4Cl (D) Rh(PPh3)3Cl,D,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\114\chemistry\q010\CMU_114_chem_q010_full.png,,待複習,,中國醫114化學完整題圖；每題單張圖片包含題幹與所有選項。
