學校,年度,科目,題號,單元,題型,答案,答案來源,釋疑校對,阿摩校對,詳解,題目圖,詳解連結,狀態,錯因,備註
中國醫藥大學,112,化學,1,未分類,1. 下列鹵烷分子的IUPAC 系統命名為何? (A) 2-chloro-3-sec-butylhexane (B) 2-chloro-4-methyl-3-propylhexane (C) 3-sec-butyl-2-chlorohexane (D) 4-(1-chloroethyl)-3-methylheptane,B,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\112\chemistry\q001\CMU_112_chem_q001_full.png,,待複習,,中國醫112化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,112,化學,2,未分類,2. 下列反應的主要產物為何? (A) (B) (C) (D),D,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\112\chemistry\q002\CMU_112_chem_q002_full.png,,待複習,,中國醫112化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,112,化學,3,未分類,3. 下列反應何者產物為炔? (A) (B) (C) (D),C,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\112\chemistry\q003\CMU_112_chem_q003_full.png,,待複習,,中國醫112化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,112,化學,4,酸鹼/溶液,4. 下列反應何者產物不會得到羧酸? (A) (B) (C) (D),A,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\112\chemistry\q004\CMU_112_chem_q004_full.png,,待複習,,中國醫112化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,112,化學,5,酸鹼/溶液,5. 下列人名重排反應何者不會產生異氰酸酯(isocyanate)中間體? (A) Curtius (B) Hofmann (C) Lossen (D) Wolff,A,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\112\chemistry\q005\CMU_112_chem_q005_full.png,,待複習,,中國醫112化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,112,化學,6,未分類,6. 下列何種光譜分析方法最適合用來區分順式與反式-2-丁烯? (A) 紅外線光譜 (B) 氫核磁共振光譜 (C) 碳核磁共振光譜 (D) 質譜,D,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\112\chemistry\q006\CMU_112_chem_q006_full.png,,待複習,,中國醫112化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,112,化學,7,未分類,"7. 下列四種雙烯(I–IV)與馬來酐(maleic anhydride)進行Diels-Alder 反應,其反應性由高到低 依序為: (A) II > III > I > IV (B) III > I > II > IV (C) III > I > IV > II (D) III > II > I > IV",B,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\112\chemistry\q007\CMU_112_chem_q007_full.png,,待複習,,中國醫112化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,112,化學,8,芳香族/有機反應,"8. 1,3-二氯苯進行單一溴化反應的主要產物為何? (A) I (B) II (C) III (D) I + II (1:1)",B,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\112\chemistry\q008\CMU_112_chem_q008_full.png,,待複習,,中國醫112化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,112,化學,9,未分類,9. 下列反應何者可以得到預期產物? (A) (B) (C) (D),C,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\112\chemistry\q009\CMU_112_chem_q009_full.png,,待複習,,中國醫112化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,112,化學,10,酸鹼/溶液,10. 下列反應的產物為何? (A) 3-甲基己醛 (B) 4-甲基-1-己醇 (C) 4-甲基己醛 (D) 4-甲基己酸,B,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\112\chemistry\q010\CMU_112_chem_q010_full.png,,待複習,,中國醫112化學完整題圖；每題單張圖片包含題幹與所有選項。
