學校,年度,科目,題號,單元,題型,答案,答案來源,釋疑校對,阿摩校對,詳解,題目圖,詳解連結,狀態,錯因,備註
中國醫藥大學,110,化學,1,未分類,1. 與環戊烷互為同分異構物的烯類共有幾種? (A) 4 (B) 5 (C) 6 (D) 7,A,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\110\chemistry\q001\CMU_110_chem_q001_full.png,,待複習,,中國醫110化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,110,化學,2,未分類,"2. 順式-3,4-二甲基環丁烯加熱會進行開環反應而產生下列何者產物?  (A) (B) (C) (D)",A,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\110\chemistry\q002\CMU_110_chem_q002_full.png,,待複習,,中國醫110化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,110,化學,3,未分類,"3. 下列反應何者正確? (A) CN 1. DIBAL-H (B) Br2 NH2 2. H2O Br Br (C) O 1. LiAlH4 (D) HCl OH peroxide,  Cl NH2 2. H2O",C,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\110\chemistry\q003\CMU_110_chem_q003_full.png,,待複習,,中國醫110化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,110,化學,4,酸鹼/溶液,"4. 下列化合物與過量的鹼性過錳酸鉀水溶液反應,最終產物為何? 1. KMnO4, −OH,  2. H3O+ (A) CO2H (B) CHO (C) (D) OH CO2H OH",C,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\110\chemistry\q004\CMU_110_chem_q004_full.png,,待複習,,中國醫110化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,110,化學,5,未分類,"5. 在環戊二烯陽離子的π分子軌域中,有多少個是鍵結軌域? (A) 2 (B) 3 (C) 4 (D) 5",A,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\110\chemistry\q005\CMU_110_chem_q005_full.png,,待複習,,中國醫110化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,110,化學,6,未分類,6. 下列烯類進行氫化反應得到十氫萘(C10H18)所釋放出的熱量由高到低依序為何? I II III IV V (A) I > V > II > III > IV (B) III > IV > II > I > V (C) IV > III > II > V > I (D) IV > III > II > V = I,C,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\110\chemistry\q006\CMU_110_chem_q006_full.png,,待複習,,中國醫110化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,110,化學,7,未分類,"7. 下列烷類分子的IUPAC 系統命名為何? (A) 2,3-dimethyl-4-sec-butylheptane (B) 4-sec-butyl-2,3-dimethylheptane (C) 2,3,5-trimethyl-4-propylheptane (D) 4-propyl-2,3,5-trimethylheptane",D,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\110\chemistry\q007\CMU_110_chem_q007_full.png,,待複習,,中國醫110化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,110,化學,8,未分類,8. 下列三個反應進行的難易程度由易到難順序為何? O MeO OMe MeOH I H+ O HO OH O O II H+ MeO OMe O O HO OH III H+ (A) I > II > III (B) II = III > I (C) II > III > I (D) III > II > I,C,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\110\chemistry\q008\CMU_110_chem_q008_full.png,,待複習,,中國醫110化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,110,化學,9,芳香族/有機反應,"9. 苯甲酸藉由Birch 還原後所得之產物為何? Na, NH3 (l) CO2H EtOH (A) (B) (C) (D) OH CO2H CO2H CO2H",B,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\110\chemistry\q009\CMU_110_chem_q009_full.png,,待複習,,中國醫110化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,110,化學,10,未分類,10. 下列分子何者具有最大的偶極距(dipole moment) ? (A) (B) (C) (D),C,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\110\chemistry\q010\CMU_110_chem_q010_full.png,,待複習,,中國醫110化學完整題圖；每題單張圖片包含題幹與所有選項。
