學校,年度,科目,題號,單元,題型,答案,答案來源,釋疑校對,阿摩校對,詳解,題目圖,詳解連結,狀態,錯因,備註
中國醫藥大學,108,化學,1,未分類,1. 56Fe3+ 中有幾個質子(proton)、電子(electron)和中子(neutron) (依序列出)?(Fe 的原子序是26) (A) 26 26 30 (B) 56 26 30 (C) 26 23 56 (D) 29 26 30 (E) 26 23 30,E,官方參考答案,未找到官方釋疑公告,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\108\chemistry\q001\CMU_108_chem_q001_full.png,,待複習,,中國醫108化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,108,化學,2,未分類,2. 太陽放射之能量來自於 (A) 氫氣燃燒 (B) 光合作用 (C) 核分裂 (D) 核融合 (E) 自然放射性,B,官方參考答案,未找到官方釋疑公告,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\108\chemistry\q002\CMU_108_chem_q002_full.png,,待複習,,中國醫108化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,108,化學,3,酸鹼/溶液,"3. 富馬酸(Fumaric acid)由碳、氫和氧三種元素組成,其中含41.42 wt%的碳以及3.47 wt%的 氫。一個 0.05 莫耳的富馬酸樣品重量為5.80 g。富馬酸的分子式是 (A) C3H3O3 (B) C4H4O4 (C) C5H8O3 (D) C5H5O5 (E) C6H12O2",D,官方參考答案,未找到官方釋疑公告,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\108\chemistry\q003\CMU_108_chem_q003_full.png,,待複習,,中國醫108化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,108,化學,4,未分類,"4. 銦 (In) 的原子序為 49、原子量為 114.8 g。天然存在的銦包含112In 及115In 兩種同位素, 兩者(112In /115In)的比例約為 (A) 7/93 (B) 25/75 (C) 50/50 (D) 75/25 (E) 93/7",C,官方參考答案,未找到官方釋疑公告,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\108\chemistry\q004\CMU_108_chem_q004_full.png,,待複習,,中國醫108化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,108,化學,5,鍵結/光譜,"5. 下列元素中,哪一個有最高的第三游離能(third ionization energy)? (A) Al (B) Mg (C) Na (D) P (E) S",B,官方參考答案,未找到官方釋疑公告,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\108\chemistry\q005\CMU_108_chem_q005_full.png,,待複習,,中國醫108化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,108,化學,6,未分類,"6. 化合物XeF4 的立體結構為平面四邊形,中心原子Xe 的混成軌域為何? (A) d2sp3 (B) dsp3 (C) dsp2 (D) sp3 (E) sp2",E,官方參考答案,未找到官方釋疑公告,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\108\chemistry\q006\CMU_108_chem_q006_full.png,,待複習,,中國醫108化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,108,化學,7,未分類,"7. 元素X 的電子組態為[Ar]3d104s24p3,下列何者是X 的氟化物最有可能的化學式? (A) XF (B) XF2 (C) XF4 (D) XF5 (E) XF6",E,官方參考答案,未找到官方釋疑公告,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\108\chemistry\q007\CMU_108_chem_q007_full.png,,待複習,,中國醫108化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,108,化學,8,未分類,"8. 以下各組氣體混合物,哪一組最易藉由氣體擴散(gaseous effusion)分離? (A) NH3 和Cl2 (B) Ar 和O2 (C) Ne 和He (D) Cl2 和Kr (E) N2 和O2",C,官方參考答案,未找到官方釋疑公告,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\108\chemistry\q008\CMU_108_chem_q008_full.png,,待複習,,中國醫108化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,108,化學,9,未分類,"9. 使用下列的半反應電位,25 °C 下碘化銀(AgI)的溶解度積(solubility product)為何? AgI(s) + e–  Ag(s) + I ̄(aq) E°= –0.15 V Ag+(aq) + e–  Ag(s) E°= +0.80 V (A) 2.9 x 10–3 (B) 1.9 x 10–4 (C) 2.1 x 10–12 (D) 9.0 x 10–17 (E) 2.4 x 10–20",C,官方參考答案,未找到官方釋疑公告,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\108\chemistry\q009\CMU_108_chem_q009_full.png,,待複習,,中國醫108化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,108,化學,10,酸鹼/溶液,"10. 一氧化碳是危險的空氣汙染物,主要原因是 (A) 易與氧氣反應產生二氧化碳 (B) 會催化臭氧的分解 (C) 和血紅素結合生成安定的錯合物 (D) 會催化煙霧(smog)的生成 (E) 與雨水結合產生造成酸雨",C,官方參考答案,未找到官方釋疑公告,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\108\chemistry\q010\CMU_108_chem_q010_full.png,,待複習,,中國醫108化學完整題圖；每題單張圖片包含題幹與所有選項。
