學校,年度,科目,題號,單元,題型,答案,答案來源,釋疑校對,阿摩校對,詳解,題目圖,詳解連結,狀態,錯因,備註
中國醫藥大學,115,化學,1,鍵結/光譜,"1. 在1H NMR 光譜圖化學位移(chemical shift): 7.3 ppm,可觀察到一個細微的單峰(singlet, s)訊號。請問此單峰訊號最可能來源為何? (A) 溶劑CDCl3 分子中「氘核 (2D)」產生的共振訊號 (B) 溶劑中未完全氘代CHCl3 的1H 訊號 (C) 內標準品四甲基矽烷[ (CH3)4Si ]的1H 訊號 (D) 微量H2O 的1H 訊號",B,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\115\chemistry\q001\CMU_115_chem_q001_full.png,,待複習,,中國醫115化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,115,化學,2,鍵結/光譜,"2. 在13C{1H} NMR 光譜圖中,使用CDCl3 作為溶劑時,於化學位移 : 77 ppm,可觀察到強 度比約1:1:1 的三重峰(triplet, t)訊號。請問此三重峰訊號來源最可能為何? (A) 未完全氘代CHCl3 的13C 與1H 偶合產生的訊號 (B) 溶劑CDCl3 的13C 與2D 偶合產生的訊號 (C) 溶劑CDCl3 的12C 受磁場感應產生的共振訊號 (D) 內標準品(CH3)4Si 的13C 與1H 偶合產生的訊號",B,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\115\chemistry\q002\CMU_115_chem_q002_full.png,,待複習,,中國醫115化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,115,化學,3,鍵結/光譜,"3. 由1H 與13C{1H} NMR 光譜圖與數據,判斷此分子式為C4H8O2 的有機化合物可能為下列 何者? (A) ethyl acetate (B) methoxyacetone (C) methyl propionate (D) propyl formate",A,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\115\chemistry\q003\CMU_115_chem_q003_full.png,,待複習,,中國醫115化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,115,化學,4,酸鹼/溶液,"4. 試計算巴豆酸(crotonic acid, (2E)-but-2-enoic acid)分子的所有碳原子氧化數總和? (A) +2 (B) 0 (C) −2 (D) −4",C,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\115\chemistry\q004\CMU_115_chem_q004_full.png,,待複習,,中國醫115化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,115,化學,5,鍵結/光譜,"5. 化合物A 至E 具有對掌性碳原子(chiral carbon),哪個選項所標示的絕對組態 (absolute configuration)完全正確? (A) A = S, B = R, C = S, D = S, E = S (B) A = S, B = S, C = R, D = S, E = R (C) A = R, B = S, C = S, D = R, E = S (D) A = S, B = S, C = S, D = S, E = S",D,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\115\chemistry\q005\CMU_115_chem_q005_full.png,,待複習,,中國醫115化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,115,化學,6,未分類,"6. 有關順式十氫萘(cis-decalin)與反式十氫萘(trans-decalin)的結構穩定性,下列敘述何 者正確? (A) cis-decalin 較穩定,因為其結構較具靈活性(flexible),可進行環翻轉(ring-flip) (B) trans-decalin 較穩定,因為其環接合處(ring junction)皆位於平伏鍵(equatorial), 避開了嚴重的鄰位交叉張力(gauche interactions) (C) 兩者穩定性相同,因為兩者皆是由兩個六圓環構成,且碳原子皆為sp3 混成 (D) 無法判斷,穩定性取決於環境溫度或溶劑極性",B,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\115\chemistry\q006\CMU_115_chem_q006_full.png,,待複習,,中國醫115化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,115,化學,7,芳香族/有機反應,"7. 下列四個苯胺鹽酸鹽衍生物,何者的pKa 數值最小? (A) (B) (C) (D)",A,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\115\chemistry\q007\CMU_115_chem_q007_full.png,,待複習,,中國醫115化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,115,化學,8,酸鹼/溶液,"8. 在四氫呋喃(THF)溶劑中,比較下列四種物質的鹼性,何者最弱? (A) 二異丙基胺基鋰(lithium diisopropylamide, LDA) (B) 叔丁醇鉀(potassium tert-butoxide, t-BuOK) (C) 正丁基鋰(n-butyllithium, n-BuLi) (D) 吡啶(pyridine)",D,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\115\chemistry\q008\CMU_115_chem_q008_full.png,,待複習,,中國醫115化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,115,化學,9,芳香族/有機反應,"9. 下列分子結構中,具有芳香性特徵(aromatic character)的化合物共有幾個? (A) 2 (B) 3 (C) 4 (D) 5",B,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\115\chemistry\q009\CMU_115_chem_q009_full.png,,待複習,,中國醫115化學完整題圖；每題單張圖片包含題幹與所有選項。
中國醫藥大學,115,化學,10,酸鹼/溶液,"10. 市售產品標榜含有「左旋C」,其結構如圖所示 (L-抗壞血酸)。關於此 分子的敘述,下列選項何者正確? (A) 該分子結構中含有 2 個對掌性中心,共有 2 個立體異構物 (B) 標榜「左旋」是因為其水溶液實測旋光值為負值(−) (C) 自然界中具生物活性的維他命 C 結構為 D-型抗壞血酸 (D) 稱為「左式 (L)」是依據其結構在費雪投影式(Fischer projection)中,決定組態的 對掌性碳上 -OH 基位置而定",D,官方參考答案,已查官方釋疑公告，無本題更正,未查；官方資料足夠時不需交叉確認,待補充,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\CMU\115\chemistry\q010\CMU_115_chem_q010_full.png,,待複習,,中國醫115化學完整題圖；每題單張圖片包含題幹與所有選項。
